ACTION START 1200 0 START
ACTION QUERY 1200 10  preferen in definition of terms
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 78138597
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 30110893
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 479671
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 126980077
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 70972352
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 158275115
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 108528571
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 42668505
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 18189755
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 142926037
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 28442408
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 121526029
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 125175978
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 162298252
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 19198165
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 1095454
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 19962325
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 45636073
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 147849944
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 6734665
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 136081789
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 29357870
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 134597301
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 2047632
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 8861583
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 98891346
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 3194043
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 138459211
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 8230784
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 8869291
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 155035613
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 36319403
ACTION QUERY 1200 121 ("scam" OR "fraud" OR "treachery" OR "trickery" OR "cheating" OR "phishing" OR "deception" OR "misrepresentation" OR "identity theft" OR "fraudulent" OR "fraudulence" OR "cybercrime" OR "cyber fraud" OR "data breach" OR "manipulation" OR "scamware" OR "fake" OR "fake news" OR "deepfake
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 135980500
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 89665599
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 46044556
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 160633739
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 157888044
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 448611
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 121702068
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 151564427
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 77947998
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 41652959
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 82159522
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 152398515
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 81983971
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 130762092
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 149758795
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 145007991
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 2900207
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 17797449
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 163345770
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 7075967
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 36368186
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 161207129
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 159769708
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 160447552
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 121068837
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 2550405
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 5859280
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 151291222
